fdTu,fdHz_Hz,EbN0_dB,errorsOFDM,errorsOTFS,bitsPerPoint,berOFDM,berOTFS,ofdmCI95Low,ofdmCI95High,otfsCI95Low,otfsCI95High,pairedOFDMOnly,pairedOTFSOnly,mcnemarPExact,zeroErrorUpperBound95
0.01,150,0,30688,29768,204800,0.14984375,0.1453515625,0.14830452366819,0.151396111933229,0.143831749845803,0.146884679273483,267,29708,0,1.46275989919628e-05
0.01,150,4,16428,13993,204800,0.08021484375,0.0683251953125,0.0790463058540382,0.0813991292743244,0.0672405603406768,0.0694260239355196,291,13957,0,1.46275989919628e-05
0.01,150,8,8118,4554,204800,0.039638671875,0.022236328125,0.0388022641822568,0.0404923493520601,0.021606628595091,0.0228839502627904,312,4539,0,1.46275989919628e-05
0.01,150,12,3788,935,204800,0.01849609375,0.0045654296875,0.017921522797953,0.0190887276193701,0.00428261265672974,0.00486683222415381,320,928,5.67972837563021e-69,1.46275989919628e-05
0.01,150,16,1735,95,204800,0.0084716796875,0.0004638671875,0.00808385988393119,0.00887793845967639,0.000379511711472277,0.000566962033551052,326,94,4.62779851594111e-31,1.46275989919628e-05
0.01,150,20,782,8,204800,0.003818359375,3.90625e-05,0.0035603961679524,0.00409493611318518,1.9794068869236e-05,7.70862370828551e-05,327,8,1.05909675085586e-85,1.46275989919628e-05
0.01,150,24,327,0,204800,0.0015966796875,0,0.00143285731065947,0.00177919893855383,0,1.87567713248509e-05,327,0,7.31511930420668e-99,1.46275989919628e-05
0.05,750,0,30331,29922,204800,0.1481005859375,0.146103515625,0.14656883490506,0.149645537963618,0.144580419027144,0.147639888133716,203,29886,0,1.46275989919628e-05
0.05,750,4,16107,13592,204800,0.0786474609375,0.0663671875,0.0774895098141921,0.0798212184872526,0.0652972282113417,0.0674534138916643,216,13569,0,1.46275989919628e-05
0.05,750,8,7259,3659,204800,0.0354443359375,0.0178662109375,0.034652216759952,0.0362538822437649,0.0173014885578961,0.0184490198635628,231,3651,0,1.46275989919628e-05
0.05,750,12,2967,372,204800,0.0144873046875,0.00181640625,0.0139788388469495,0.0150139838292531,0.0016411013087977,0.00201039982269382,239,372,8.297530888144e-08,1.46275989919628e-05
0.05,750,16,1187,6,204800,0.0057958984375,2.9296875e-05,0.00547627879392708,0.00613405742771454,1.3427087563355e-05,6.3922334731926e-05,239,6,1.0244756586933e-62,1.46275989919628e-05
0.05,750,20,487,0,204800,0.0023779296875,0,0.00217611579319016,0.00259841114856794,0,1.87567713248509e-05,239,0,2.2639197697067e-72,1.46275989919628e-05
0.05,750,24,239,0,204800,0.0011669921875,0,0.00102818996747101,0.00132450740084264,0,1.87567713248509e-05,239,0,2.2639197697067e-72,1.46275989919628e-05
0.1,1500,0,30876,29782,204800,0.15076171875,0.145419921875,0.149218584996927,0.152317953668232,0.143899810104051,0.146953335200833,180,29753,0,1.46275989919628e-05
0.1,1500,4,15875,13728,204800,0.0775146484375,0.06703125,0.0763644334929589,0.0786807123042958,0.0659562838088202,0.0681224583828489,191,13710,0,1.46275989919628e-05
0.1,1500,8,7260,3559,204800,0.03544921875,0.0173779296875,0.0346570463558303,0.0362588180897151,0.0168209685182126,0.0179529957204058,209,3559,0,1.46275989919628e-05
0.1,1500,12,3024,336,204800,0.014765625,0.001640625,0.0142522813447851,0.0152971715156365,0.00147444563727324,0.0018254995883957,208,335,5.60144910295415e-08,1.46275989919628e-05
0.1,1500,16,1198,2,204800,0.005849609375,9.765625e-06,0.00552847847116107,0.00618927761059301,2.67809069762384e-06,3.56095642840371e-05,209,2,1.35927912812434e-59,1.46275989919628e-05
0.1,1500,20,475,0,204800,0.0023193359375,0,0.00212012946867383,0.00253721217114341,0,1.87567713248509e-05,209,0,2.43086534291453e-63,1.46275989919628e-05
0.1,1500,24,209,0,204800,0.0010205078125,0,0.000891268740917423,0.00116846537254408,0,1.87567713248509e-05,209,0,2.43086534291453e-63,1.46275989919628e-05
0.2,3000,0,31391,30509,204800,0.1532763671875,0.1489697265625,0.1517226311534,0.154843110053387,0.147434239240041,0.150518382274093,133,30488,0,1.46275989919628e-05
0.2,3000,4,16369,14115,204800,0.0799267578125,0.0689208984375,0.0787601557107181,0.0811091183497687,0.067831850299779,0.0700261178794829,140,14101,0,1.46275989919628e-05
0.2,3000,8,7375,3844,204800,0.0360107421875,0.01876953125,0.0352124769050935,0.0368264133507184,0.0181907401271406,0.0193663750325732,148,3838,0,1.46275989919628e-05
0.2,3000,12,2977,382,204800,0.0145361328125,0.001865234375,0.0140268076998342,0.0150636693946524,0.00168747401466075,0.00206168153511482,153,381,1.86186979422219e-23,1.46275989919628e-05
0.2,3000,16,1071,8,204800,0.0052294921875,3.90625e-05,0.00492626398799443,0.0055512809815522,1.9794068869236e-05,7.70862370828551e-05,154,8,3.55934562714316e-36,1.46275989919628e-05
0.2,3000,20,361,0,204800,0.0017626953125,0,0.00159012986390435,0.00195395140747471,0,1.87567713248509e-05,154,0,8.75811540203008e-47,1.46275989919628e-05
0.2,3000,24,154,0,204800,0.000751953125,0,0.000642232156007757,0.000880402656891468,0,1.87567713248509e-05,154,0,8.75811540203008e-47,1.46275989919628e-05
